labels,images
datasets\data\train\labels\201807081345_035.txt,datasets\data\train\images\201807081345_035.png
datasets\data\train\labels\201806291143_008.txt,datasets\data\train\images\201806291143_008.png
datasets\data\train\labels\201807011433_035.txt,datasets\data\train\images\201807011433_035.png
datasets\data\train\labels\201807011603_018.txt,datasets\data\train\images\201807011603_018.png
datasets\data\train\labels\201807021246_042.txt,datasets\data\train\images\201807021246_042.png
datasets\data\train\labels\201807081345_014.txt,datasets\data\train\images\201807081345_014.png
datasets\data\train\labels\201807021045_017.txt,datasets\data\train\images\201807021045_017.png
datasets\data\train\labels\201807051131_013.txt,datasets\data\train\images\201807051131_013.png
datasets\data\train\labels\201807041113_008.txt,datasets\data\train\images\201807041113_008.png
datasets\data\train\labels\201807041113_036.txt,datasets\data\train\images\201807041113_036.png
datasets\data\train\labels\201806271557_003.txt,datasets\data\train\images\201806271557_003.png
datasets\data\train\labels\201807021417_049.txt,datasets\data\train\images\201807021417_049.png
datasets\data\train\labels\201807041113_058.txt,datasets\data\train\images\201807041113_058.png
datasets\data\train\labels\201807011132_035.txt,datasets\data\train\images\201807011132_035.png
datasets\data\train\labels\201806261434_008.txt,datasets\data\train\images\201806261434_008.png
datasets\data\train\labels\201806281012_008.txt,datasets\data\train\images\201806281012_008.png
datasets\data\train\labels\201807041314_019.txt,datasets\data\train\images\201807041314_019.png
datasets\data\train\labels\201807041418_004.txt,datasets\data\train\images\201807041418_004.png
datasets\data\train\labels\201807081244_008.txt,datasets\data\train\images\201807081244_008.png
datasets\data\train\labels\201807041244_052.txt,datasets\data\train\images\201807041244_052.png
datasets\data\train\labels\201807050943_008.txt,datasets\data\train\images\201807050943_008.png
datasets\data\train\labels\201807061520_030.txt,datasets\data\train\images\201807061520_030.png
datasets\data\train\labels\201807071015_055.txt,datasets\data\train\images\201807071015_055.png
datasets\data\train\labels\201806301112_049.txt,datasets\data\train\images\201806301112_049.png
datasets\data\train\labels\201807041244_029.txt,datasets\data\train\images\201807041244_029.png
datasets\data\train\labels\201807071547_012.txt,datasets\data\train\images\201807071547_012.png
datasets\data\train\labels\201807021146_050.txt,datasets\data\train\images\201807021146_050.png
datasets\data\train\labels\201807031122_046.txt,datasets\data\train\images\201807031122_046.png
datasets\data\train\labels\201807021517_003.txt,datasets\data\train\images\201807021517_003.png
datasets\data\train\labels\201807011533_059.txt,datasets\data\train\images\201807011533_059.png
datasets\data\train\labels\201807061350_028.txt,datasets\data\train\images\201807061350_028.png
datasets\data\train\labels\201807061650_048.txt,datasets\data\train\images\201807061650_048.png
datasets\data\train\labels\201806271527_041.txt,datasets\data\train\images\201806271527_041.png
datasets\data\train\labels\201807061148_015.txt,datasets\data\train\images\201807061148_015.png
datasets\data\train\labels\201807051013_020.txt,datasets\data\train\images\201807051013_020.png
datasets\data\train\labels\201806301709_018.txt,datasets\data\train\images\201806301709_018.png
datasets\data\train\labels\201807071115_009.txt,datasets\data\train\images\201807071115_009.png
datasets\data\train\labels\201807011303_039.txt,datasets\data\train\images\201807011303_039.png
datasets\data\train\labels\201806271257_052.txt,datasets\data\train\images\201806271257_052.png
datasets\data\train\labels\201807051030_042.txt,datasets\data\train\images\201807051030_042.png
datasets\data\train\labels\201807061620_052.txt,datasets\data\train\images\201807061620_052.png
datasets\data\train\labels\201807071115_001.txt,datasets\data\train\images\201807071115_001.png
datasets\data\train\labels\201807021246_011.txt,datasets\data\train\images\201807021246_011.png
datasets\data\train\labels\201806261504_054.txt,datasets\data\train\images\201806261504_054.png
datasets\data\train\labels\201806271657_044.txt,datasets\data\train\images\201806271657_044.png
datasets\data\train\labels\201807051710_007.txt,datasets\data\train\images\201807051710_007.png
datasets\data\train\labels\201806281042_012.txt,datasets\data\train\images\201806281042_012.png
datasets\data\train\labels\201807081415_013.txt,datasets\data\train\images\201807081415_013.png
datasets\data\train\labels\201807071517_032.txt,datasets\data\train\images\201807071517_032.png
datasets\data\train\labels\201807011232_041.txt,datasets\data\train\images\201807011232_041.png
datasets\data\train\labels\201807021316_047.txt,datasets\data\train\images\201807021316_047.png
datasets\data\train\labels\201807021517_019.txt,datasets\data\train\images\201807021517_019.png
datasets\data\train\labels\201807021347_037.txt,datasets\data\train\images\201807021347_037.png
datasets\data\train\labels\201807011403_065.txt,datasets\data\train\images\201807011403_065.png
datasets\data\train\labels\201806301409_059.txt,datasets\data\train\images\201806301409_059.png
datasets\data\train\labels\201807021116_033.txt,datasets\data\train\images\201807021116_033.png
datasets\data\train\labels\201807051710_005.txt,datasets\data\train\images\201807051710_005.png
datasets\data\train\labels\201807051431_007.txt,datasets\data\train\images\201807051431_007.png
datasets\data\train\labels\201807051301_010.txt,datasets\data\train\images\201807051301_010.png
datasets\data\train\labels\201807071246_045.txt,datasets\data\train\images\201807071246_045.png
datasets\data\train\labels\201806301112_001.txt,datasets\data\train\images\201806301112_001.png
datasets\data\train\labels\201806301012_029.txt,datasets\data\train\images\201806301012_029.png
datasets\data\train\labels\201807061720_016.txt,datasets\data\train\images\201807061720_016.png
datasets\data\train\labels\201807081244_001.txt,datasets\data\train\images\201807081244_001.png
datasets\data\train\labels\201807071215_020.txt,datasets\data\train\images\201807071215_020.png
datasets\data\train\labels\201807041244_034.txt,datasets\data\train\images\201807041244_034.png
datasets\data\train\labels\201806301238_021.txt,datasets\data\train\images\201806301238_021.png
datasets\data\train\labels\201807051201_024.txt,datasets\data\train\images\201807051201_024.png
datasets\data\train\labels\201807071417_052.txt,datasets\data\train\images\201807071417_052.png
datasets\data\train\labels\201806301012_000.txt,datasets\data\train\images\201806301012_000.png
datasets\data\train\labels\201807081244_022.txt,datasets\data\train\images\201807081244_022.png
datasets\data\train\labels\201807051231_018.txt,datasets\data\train\images\201807051231_018.png
datasets\data\train\labels\201806301112_032.txt,datasets\data\train\images\201806301112_032.png
datasets\data\train\labels\201807021246_047.txt,datasets\data\train\images\201807021246_047.png
datasets\data\train\labels\201807061650_031.txt,datasets\data\train\images\201807061650_031.png
datasets\data\train\labels\201806271257_006.txt,datasets\data\train\images\201806271257_006.png
datasets\data\train\labels\201806261534_075.txt,datasets\data\train\images\201806261534_075.png
datasets\data\train\labels\201807081214_010.txt,datasets\data\train\images\201807081214_010.png
datasets\data\train\labels\201807011303_011.txt,datasets\data\train\images\201807011303_011.png
datasets\data\train\labels\201806261634_001.txt,datasets\data\train\images\201806261634_001.png
datasets\data\train\labels\201807021146_059.txt,datasets\data\train\images\201807021146_059.png
datasets\data\train\labels\201806291243_005.txt,datasets\data\train\images\201806291243_005.png
datasets\data\train\labels\201807041548_021.txt,datasets\data\train\images\201807041548_021.png
datasets\data\train\labels\201806281153_010.txt,datasets\data\train\images\201806281153_010.png
datasets\data\train\labels\201807081244_039.txt,datasets\data\train\images\201807081244_039.png
datasets\data\train\labels\201806260831_003.txt,datasets\data\train\images\201806260831_003.png
datasets\data\train\labels\201807041418_018.txt,datasets\data\train\images\201807041418_018.png
datasets\data\train\labels\201807051131_024.txt,datasets\data\train\images\201807051131_024.png
datasets\data\train\labels\201807041143_018.txt,datasets\data\train\images\201807041143_018.png
datasets\data\train\labels\201807081214_051.txt,datasets\data\train\images\201807081214_051.png
datasets\data\train\labels\201806271126_030.txt,datasets\data\train\images\201806271126_030.png
datasets\data\train\labels\201806301112_058.txt,datasets\data\train\images\201806301112_058.png
datasets\data\train\labels\201807021146_044.txt,datasets\data\train\images\201807021146_044.png
datasets\data\train\labels\201807031122_025.txt,datasets\data\train\images\201807031122_025.png
datasets\data\train\labels\201806291521_042.txt,datasets\data\train\images\201806291521_042.png
datasets\data\train\labels\201807041143_039.txt,datasets\data\train\images\201807041143_039.png
datasets\data\train\labels\201806301709_017.txt,datasets\data\train\images\201806301709_017.png
datasets\data\train\labels\201806301609_035.txt,datasets\data\train\images\201806301609_035.png
datasets\data\train\labels\201807021246_005.txt,datasets\data\train\images\201807021246_005.png
datasets\data\train\labels\201807041244_030.txt,datasets\data\train\images\201807041244_030.png
datasets\data\train\labels\201807071316_055.txt,datasets\data\train\images\201807071316_055.png
datasets\data\train\labels\201807061320_049.txt,datasets\data\train\images\201807061320_049.png
datasets\data\train\labels\201807081515_058.txt,datasets\data\train\images\201807081515_058.png
datasets\data\train\labels\201807071215_010.txt,datasets\data\train\images\201807071215_010.png
datasets\data\train\labels\201806271257_040.txt,datasets\data\train\images\201806271257_040.png
datasets\data\train\labels\201807041244_044.txt,datasets\data\train\images\201807041244_044.png
datasets\data\train\labels\201807041448_007.txt,datasets\data\train\images\201807041448_007.png
datasets\data\train\labels\201807081615_056.txt,datasets\data\train\images\201807081615_056.png
datasets\data\train\labels\201806291451_007.txt,datasets\data\train\images\201806291451_007.png
datasets\data\train\labels\201807011333_025.txt,datasets\data\train\images\201807011333_025.png
datasets\data\train\labels\201806261534_044.txt,datasets\data\train\images\201806261534_044.png
datasets\data\train\labels\201807031007_005.txt,datasets\data\train\images\201807031007_005.png
datasets\data\train\labels\201807011703_027.txt,datasets\data\train\images\201807011703_027.png
datasets\data\train\labels\201807071517_005.txt,datasets\data\train\images\201807071517_005.png
datasets\data\train\labels\201807061420_006.txt,datasets\data\train\images\201807061420_006.png
datasets\data\train\labels\201806291551_019.txt,datasets\data\train\images\201806291551_019.png
datasets\data\train\labels\201806261534_048.txt,datasets\data\train\images\201806261534_048.png
datasets\data\train\labels\201807051301_004.txt,datasets\data\train\images\201807051301_004.png
datasets\data\train\labels\201806301238_067.txt,datasets\data\train\images\201806301238_067.png
datasets\data\train\labels\201807011703_073.txt,datasets\data\train\images\201807011703_073.png
datasets\data\train\labels\201806281032_004.txt,datasets\data\train\images\201806281032_004.png
datasets\data\train\labels\201806281659_034.txt,datasets\data\train\images\201806281659_034.png
datasets\data\train\labels\201807061320_016.txt,datasets\data\train\images\201807061320_016.png
datasets\data\train\labels\201806271657_029.txt,datasets\data\train\images\201806271657_029.png
datasets\data\train\labels\201807071647_026.txt,datasets\data\train\images\201807071647_026.png
datasets\data\train\labels\201807031022_024.txt,datasets\data\train\images\201807031022_024.png
datasets\data\train\labels\201807011533_028.txt,datasets\data\train\images\201807011533_028.png
datasets\data\train\labels\201806291551_001.txt,datasets\data\train\images\201806291551_001.png
datasets\data\train\labels\201807061320_001.txt,datasets\data\train\images\201807061320_001.png
datasets\data\train\labels\201806261434_039.txt,datasets\data\train\images\201806261434_039.png
datasets\data\train\labels\201807061148_008.txt,datasets\data\train\images\201807061148_008.png
datasets\data\train\labels\201807051231_006.txt,datasets\data\train\images\201807051231_006.png
datasets\data\train\labels\201806271557_011.txt,datasets\data\train\images\201806271557_011.png
datasets\data\train\labels\201807081315_041.txt,datasets\data\train\images\201807081315_041.png
datasets\data\train\labels\201807051201_011.txt,datasets\data\train\images\201807051201_011.png
datasets\data\train\labels\201806281429_041.txt,datasets\data\train\images\201806281429_041.png
datasets\data\train\labels\201807031222_036.txt,datasets\data\train\images\201807031222_036.png
datasets\data\train\labels\201806271327_039.txt,datasets\data\train\images\201806271327_039.png
datasets\data\train\labels\201806281659_018.txt,datasets\data\train\images\201806281659_018.png
datasets\data\train\labels\201807051431_044.txt,datasets\data\train\images\201807051431_044.png
datasets\data\train\labels\201807041548_041.txt,datasets\data\train\images\201807041548_041.png
datasets\data\train\labels\201807011403_066.txt,datasets\data\train\images\201807011403_066.png
datasets\data\train\labels\201806261604_000.txt,datasets\data\train\images\201806261604_000.png
datasets\data\train\labels\201807061720_003.txt,datasets\data\train\images\201807061720_003.png
datasets\data\train\labels\201806301539_030.txt,datasets\data\train\images\201806301539_030.png
datasets\data\train\labels\201806291551_032.txt,datasets\data\train\images\201806291551_032.png
datasets\data\train\labels\201807011603_040.txt,datasets\data\train\images\201807011603_040.png
datasets\data\train\labels\201807011232_061.txt,datasets\data\train\images\201807011232_061.png
datasets\data\train\labels\201806291551_029.txt,datasets\data\train\images\201806291551_029.png
datasets\data\train\labels\201806291521_068.txt,datasets\data\train\images\201806291521_068.png
datasets\data\train\labels\201807051401_029.txt,datasets\data\train\images\201807051401_029.png
datasets\data\train\labels\201807061650_032.txt,datasets\data\train\images\201807061650_032.png
datasets\data\train\labels\201806281529_059.txt,datasets\data\train\images\201806281529_059.png
datasets\data\train\labels\201806271157_000.txt,datasets\data\train\images\201806271157_000.png
datasets\data\train\labels\201807051301_043.txt,datasets\data\train\images\201807051301_043.png
datasets\data\train\labels\201806291421_007.txt,datasets\data\train\images\201806291421_007.png
datasets\data\train\labels\201806291451_038.txt,datasets\data\train\images\201806291451_038.png
datasets\data\train\labels\201807041418_034.txt,datasets\data\train\images\201807041418_034.png
datasets\data\train\labels\201807011303_018.txt,datasets\data\train\images\201807011303_018.png
datasets\data\train\labels\201807061148_001.txt,datasets\data\train\images\201807061148_001.png
datasets\data\train\labels\201807081345_012.txt,datasets\data\train\images\201807081345_012.png
datasets\data\train\labels\201807051640_048.txt,datasets\data\train\images\201807051640_048.png
datasets\data\train\labels\201807051301_045.txt,datasets\data\train\images\201807051301_045.png
datasets\data\train\labels\201806261334_067.txt,datasets\data\train\images\201806261334_067.png
datasets\data\train\labels\201806281529_062.txt,datasets\data\train\images\201806281529_062.png
datasets\data\train\labels\201807061018_043.txt,datasets\data\train\images\201807061018_043.png
datasets\data\train\labels\201806261604_004.txt,datasets\data\train\images\201806261604_004.png
datasets\data\train\labels\201807081445_038.txt,datasets\data\train\images\201807081445_038.png
datasets\data\train\labels\201806281559_000.txt,datasets\data\train\images\201806281559_000.png
datasets\data\train\labels\201807051231_068.txt,datasets\data\train\images\201807051231_068.png
datasets\data\train\labels\201806301539_024.txt,datasets\data\train\images\201806301539_024.png
datasets\data\train\labels\201806271056_006.txt,datasets\data\train\images\201806271056_006.png
datasets\data\train\labels\201807061148_049.txt,datasets\data\train\images\201807061148_049.png
datasets\data\train\labels\201807031022_005.txt,datasets\data\train\images\201807031022_005.png
datasets\data\train\labels\201807031052_023.txt,datasets\data\train\images\201807031052_023.png
datasets\data\train\labels\201807021146_003.txt,datasets\data\train\images\201807021146_003.png
datasets\data\train\labels\201806291421_005.txt,datasets\data\train\images\201806291421_005.png
datasets\data\train\labels\201806291127_002.txt,datasets\data\train\images\201806291127_002.png
datasets\data\train\labels\201807081345_016.txt,datasets\data\train\images\201807081345_016.png
datasets\data\train\labels\201807011232_014.txt,datasets\data\train\images\201807011232_014.png
datasets\data\train\labels\201807021116_043.txt,datasets\data\train\images\201807021116_043.png
datasets\data\train\labels\201806261334_061.txt,datasets\data\train\images\201806261334_061.png
datasets\data\train\labels\201807081114_011.txt,datasets\data\train\images\201807081114_011.png
datasets\data\train\labels\201806281123_007.txt,datasets\data\train\images\201806281123_007.png
datasets\data\train\labels\201807081545_025.txt,datasets\data\train\images\201807081545_025.png
datasets\data\train\labels\201807041448_001.txt,datasets\data\train\images\201807041448_001.png
datasets\data\train\labels\201807011102_049.txt,datasets\data\train\images\201807011102_049.png
datasets\data\train\labels\201807041314_005.txt,datasets\data\train\images\201807041314_005.png
datasets\data\train\labels\201807011002_006.txt,datasets\data\train\images\201807011002_006.png
datasets\data\train\labels\201807071347_048.txt,datasets\data\train\images\201807071347_048.png
datasets\data\train\labels\201806271357_046.txt,datasets\data\train\images\201806271357_046.png
datasets\data\train\labels\201807061018_025.txt,datasets\data\train\images\201807061018_025.png
datasets\data\train\labels\201806271327_009.txt,datasets\data\train\images\201806271327_009.png
datasets\data\train\labels\201807081345_032.txt,datasets\data\train\images\201807081345_032.png
datasets\data\train\labels\201807081144_044.txt,datasets\data\train\images\201807081144_044.png
datasets\data\train\labels\201806281629_040.txt,datasets\data\train\images\201806281629_040.png
datasets\data\train\labels\201807050943_003.txt,datasets\data\train\images\201807050943_003.png
datasets\data\train\labels\201807041418_043.txt,datasets\data\train\images\201807041418_043.png
datasets\data\train\labels\201807051100_060.txt,datasets\data\train\images\201807051100_060.png
datasets\data\train\labels\201806301409_063.txt,datasets\data\train\images\201806301409_063.png
datasets\data\train\labels\201807061520_022.txt,datasets\data\train\images\201807061520_022.png
datasets\data\train\labels\201807011232_063.txt,datasets\data\train\images\201807011232_063.png
datasets\data\train\labels\201807021246_051.txt,datasets\data\train\images\201807021246_051.png
datasets\data\train\labels\201806301308_029.txt,datasets\data\train\images\201806301308_029.png
datasets\data\train\labels\201806271527_046.txt,datasets\data\train\images\201806271527_046.png
datasets\data\train\labels\201807011002_029.txt,datasets\data\train\images\201807011002_029.png
datasets\data\train\labels\201807011433_034.txt,datasets\data\train\images\201807011433_034.png
datasets\data\train\labels\201806271357_060.txt,datasets\data\train\images\201806271357_060.png
datasets\data\train\labels\201807061320_002.txt,datasets\data\train\images\201807061320_002.png
datasets\data\train\labels\201806301012_019.txt,datasets\data\train\images\201806301012_019.png
datasets\data\train\labels\201807031022_032.txt,datasets\data\train\images\201807031022_032.png
datasets\data\train\labels\201807031152_023.txt,datasets\data\train\images\201807031152_023.png
datasets\data\train\labels\201807011433_017.txt,datasets\data\train\images\201807011433_017.png
datasets\data\train\labels\201807071417_043.txt,datasets\data\train\images\201807071417_043.png
datasets\data\train\labels\201807011433_026.txt,datasets\data\train\images\201807011433_026.png
datasets\data\train\labels\201807051401_038.txt,datasets\data\train\images\201807051401_038.png
datasets\data\train\labels\201806291521_050.txt,datasets\data\train\images\201806291521_050.png
datasets\data\train\labels\201807081345_034.txt,datasets\data\train\images\201807081345_034.png
datasets\data\train\labels\201807081315_004.txt,datasets\data\train\images\201807081315_004.png
datasets\data\train\labels\201807051640_044.txt,datasets\data\train\images\201807051640_044.png
datasets\data\train\labels\201807061520_011.txt,datasets\data\train\images\201807061520_011.png
datasets\data\train\labels\201807041043_018.txt,datasets\data\train\images\201807041043_018.png
datasets\data\train\labels\201807061350_030.txt,datasets\data\train\images\201807061350_030.png
datasets\data\train\labels\201807071347_020.txt,datasets\data\train\images\201807071347_020.png
datasets\data\train\labels\201806301338_045.txt,datasets\data\train\images\201806301338_045.png
datasets\data\train\labels\201807061148_047.txt,datasets\data\train\images\201807061148_047.png
datasets\data\train\labels\201807051301_040.txt,datasets\data\train\images\201807051301_040.png
datasets\data\train\labels\201807041113_031.txt,datasets\data\train\images\201807041113_031.png
datasets\data\train\labels\201807051013_022.txt,datasets\data\train\images\201807051013_022.png
datasets\data\train\labels\201807041143_012.txt,datasets\data\train\images\201807041143_012.png
datasets\data\train\labels\201806281133_010.txt,datasets\data\train\images\201806281133_010.png
datasets\data\train\labels\201807081615_030.txt,datasets\data\train\images\201807081615_030.png
datasets\data\train\labels\201807031122_001.txt,datasets\data\train\images\201807031122_001.png
datasets\data\train\labels\201806261604_032.txt,datasets\data\train\images\201806261604_032.png
datasets\data\train\labels\201806291421_018.txt,datasets\data\train\images\201806291421_018.png
datasets\data\train\labels\201806271427_019.txt,datasets\data\train\images\201806271427_019.png
datasets\data\train\labels\201807061148_032.txt,datasets\data\train\images\201807061148_032.png
datasets\data\train\labels\201807071717_008.txt,datasets\data\train\images\201807071717_008.png
datasets\data\train\labels\201807071547_051.txt,datasets\data\train\images\201807071547_051.png
datasets\data\train\labels\201806281429_027.txt,datasets\data\train\images\201806281429_027.png
datasets\data\train\labels\201806261704_014.txt,datasets\data\train\images\201806261704_014.png
datasets\data\train\labels\201807051201_009.txt,datasets\data\train\images\201807051201_009.png
datasets\data\train\labels\201807081515_039.txt,datasets\data\train\images\201807081515_039.png
datasets\data\train\labels\201807031122_008.txt,datasets\data\train\images\201807031122_008.png
datasets\data\train\labels\201806281559_002.txt,datasets\data\train\images\201806281559_002.png
datasets\data\train\labels\201806301012_012.txt,datasets\data\train\images\201806301012_012.png
datasets\data\train\labels\201806271728_024.txt,datasets\data\train\images\201806271728_024.png
datasets\data\train\labels\201807051640_036.txt,datasets\data\train\images\201807051640_036.png
datasets\data\train\labels\201806261534_057.txt,datasets\data\train\images\201806261534_057.png
datasets\data\train\labels\201807011232_003.txt,datasets\data\train\images\201807011232_003.png
datasets\data\train\labels\201806291243_004.txt,datasets\data\train\images\201806291243_004.png
datasets\data\train\labels\201807071547_004.txt,datasets\data\train\images\201807071547_004.png
datasets\data\train\labels\201807011303_021.txt,datasets\data\train\images\201807011303_021.png
datasets\data\train\labels\201806271017_003.txt,datasets\data\train\images\201806271017_003.png
datasets\data\train\labels\201807071347_031.txt,datasets\data\train\images\201807071347_031.png
datasets\data\train\labels\201806281529_034.txt,datasets\data\train\images\201806281529_034.png
datasets\data\train\labels\201807021116_018.txt,datasets\data\train\images\201807021116_018.png
datasets\data\train\labels\201806281012_017.txt,datasets\data\train\images\201806281012_017.png
datasets\data\train\labels\201806271627_056.txt,datasets\data\train\images\201806271627_056.png
datasets\data\train\labels\201807081545_000.txt,datasets\data\train\images\201807081545_000.png
datasets\data\train\labels\201807061550_003.txt,datasets\data\train\images\201807061550_003.png
datasets\data\train\labels\201806291651_032.txt,datasets\data\train\images\201806291651_032.png
datasets\data\train\labels\201807071617_000.txt,datasets\data\train\images\201807071617_000.png
datasets\data\train\labels\201806301338_002.txt,datasets\data\train\images\201806301338_002.png
datasets\data\train\labels\201807021246_049.txt,datasets\data\train\images\201807021246_049.png
datasets\data\train\labels\201807041143_066.txt,datasets\data\train\images\201807041143_066.png
datasets\data\train\labels\201807021417_047.txt,datasets\data\train\images\201807021417_047.png
datasets\data\train\labels\201807081315_037.txt,datasets\data\train\images\201807081315_037.png
datasets\data\train\labels\201807061219_040.txt,datasets\data\train\images\201807061219_040.png
datasets\data\train\labels\201807021417_041.txt,datasets\data\train\images\201807021417_041.png
datasets\data\train\labels\201807061048_005.txt,datasets\data\train\images\201807061048_005.png
datasets\data\train\labels\201807061219_038.txt,datasets\data\train\images\201807061219_038.png
datasets\data\train\labels\201806271056_035.txt,datasets\data\train\images\201806271056_035.png
datasets\data\train\labels\201807031122_010.txt,datasets\data\train\images\201807031122_010.png
datasets\data\train\labels\201807051501_025.txt,datasets\data\train\images\201807051501_025.png
datasets\data\train\labels\201807061620_015.txt,datasets\data\train\images\201807061620_015.png
datasets\data\train\labels\201806281153_001.txt,datasets\data\train\images\201806281153_001.png
datasets\data\train\labels\201807061720_001.txt,datasets\data\train\images\201807061720_001.png
datasets\data\train\labels\201806281559_034.txt,datasets\data\train\images\201806281559_034.png
datasets\data\train\labels\201806281659_025.txt,datasets\data\train\images\201806281659_025.png
datasets\data\train\labels\201807021517_027.txt,datasets\data\train\images\201807021517_027.png
datasets\data\train\labels\201807061018_015.txt,datasets\data\train\images\201807061018_015.png
datasets\data\train\labels\201806271257_021.txt,datasets\data\train\images\201806271257_021.png
datasets\data\train\labels\201807071316_012.txt,datasets\data\train\images\201807071316_012.png
datasets\data\train\labels\201807021146_064.txt,datasets\data\train\images\201807021146_064.png
datasets\data\train\labels\201807011703_022.txt,datasets\data\train\images\201807011703_022.png
datasets\data\train\labels\201807071547_028.txt,datasets\data\train\images\201807071547_028.png
datasets\data\train\labels\201806291350_049.txt,datasets\data\train\images\201806291350_049.png
datasets\data\train\labels\201806281659_019.txt,datasets\data\train\images\201806281659_019.png
datasets\data\train\labels\201807021146_012.txt,datasets\data\train\images\201807021146_012.png
datasets\data\train\labels\201807041143_068.txt,datasets\data\train\images\201807041143_068.png
datasets\data\train\labels\201806301238_054.txt,datasets\data\train\images\201806301238_054.png
datasets\data\train\labels\201807011333_039.txt,datasets\data\train\images\201807011333_039.png
datasets\data\train\labels\201806291421_011.txt,datasets\data\train\images\201806291421_011.png
datasets\data\train\labels\201806281032_013.txt,datasets\data\train\images\201806281032_013.png
datasets\data\train\labels\201807050943_002.txt,datasets\data\train\images\201807050943_002.png
datasets\data\train\labels\201807011603_011.txt,datasets\data\train\images\201807011603_011.png
datasets\data\train\labels\201807061450_000.txt,datasets\data\train\images\201807061450_000.png
datasets\data\train\labels\201807071015_047.txt,datasets\data\train\images\201807071015_047.png
datasets\data\train\labels\201807071447_024.txt,datasets\data\train\images\201807071447_024.png
datasets\data\train\labels\201806260821_020.txt,datasets\data\train\images\201806260821_020.png
datasets\data\train\labels\201807071115_044.txt,datasets\data\train\images\201807071115_044.png
datasets\data\train\labels\201807021116_003.txt,datasets\data\train\images\201807021116_003.png
datasets\data\train\labels\201806261404_034.txt,datasets\data\train\images\201806261404_034.png
datasets\data\train\labels\201807051100_039.txt,datasets\data\train\images\201807051100_039.png
datasets\data\train\labels\201807081114_027.txt,datasets\data\train\images\201807081114_027.png
datasets\data\train\labels\201807051710_003.txt,datasets\data\train\images\201807051710_003.png
datasets\data\train\labels\201807081244_013.txt,datasets\data\train\images\201807081244_013.png
datasets\data\train\labels\201807071417_038.txt,datasets\data\train\images\201807071417_038.png
datasets\data\train\labels\201806301012_020.txt,datasets\data\train\images\201806301012_020.png
datasets\data\train\labels\201807041418_015.txt,datasets\data\train\images\201807041418_015.png
datasets\data\train\labels\201806271657_048.txt,datasets\data\train\images\201806271657_048.png
datasets\data\train\labels\201807051301_028.txt,datasets\data\train\images\201807051301_028.png
datasets\data\train\labels\201807081615_024.txt,datasets\data\train\images\201807081615_024.png
datasets\data\train\labels\201806291421_057.txt,datasets\data\train\images\201806291421_057.png
datasets\data\train\labels\201807011503_055.txt,datasets\data\train\images\201807011503_055.png
datasets\data\train\labels\201807061249_014.txt,datasets\data\train\images\201807061249_014.png
datasets\data\train\labels\201806261604_005.txt,datasets\data\train\images\201806261604_005.png
datasets\data\train\labels\201806261534_018.txt,datasets\data\train\images\201806261534_018.png
datasets\data\train\labels\201806271527_038.txt,datasets\data\train\images\201806271527_038.png
datasets\data\train\labels\201807081445_018.txt,datasets\data\train\images\201807081445_018.png
datasets\data\train\labels\201806301539_007.txt,datasets\data\train\images\201806301539_007.png
datasets\data\train\labels\201807071417_005.txt,datasets\data\train\images\201807071417_005.png
datasets\data\train\labels\201807041448_075.txt,datasets\data\train\images\201807041448_075.png
datasets\data\train\labels\201806281559_020.txt,datasets\data\train\images\201806281559_020.png
datasets\data\train\labels\201806281529_066.txt,datasets\data\train\images\201806281529_066.png
datasets\data\train\labels\201807081515_079.txt,datasets\data\train\images\201807081515_079.png
datasets\data\train\labels\201807061320_028.txt,datasets\data\train\images\201807061320_028.png
datasets\data\train\labels\201807051231_069.txt,datasets\data\train\images\201807051231_069.png
datasets\data\train\labels\201807011002_043.txt,datasets\data\train\images\201807011002_043.png
datasets\data\train\labels\201806281529_045.txt,datasets\data\train\images\201806281529_045.png
datasets\data\train\labels\201807011403_068.txt,datasets\data\train\images\201807011403_068.png
datasets\data\train\labels\201807051131_006.txt,datasets\data\train\images\201807051131_006.png
datasets\data\train\labels\201807061249_042.txt,datasets\data\train\images\201807061249_042.png
datasets\data\train\labels\201806271527_023.txt,datasets\data\train\images\201806271527_023.png
datasets\data\train\labels\201806271157_003.txt,datasets\data\train\images\201806271157_003.png
datasets\data\train\labels\201807071115_021.txt,datasets\data\train\images\201807071115_021.png
datasets\data\train\labels\201807051301_025.txt,datasets\data\train\images\201807051301_025.png
datasets\data\train\labels\201806261704_054.txt,datasets\data\train\images\201806261704_054.png
datasets\data\train\labels\201806291521_051.txt,datasets\data\train\images\201806291521_051.png
datasets\data\train\labels\201807031152_005.txt,datasets\data\train\images\201807031152_005.png
datasets\data\train\labels\201807011633_003.txt,datasets\data\train\images\201807011633_003.png
datasets\data\train\labels\201807051100_051.txt,datasets\data\train\images\201807051100_051.png
datasets\data\train\labels\201806301609_027.txt,datasets\data\train\images\201806301609_027.png
datasets\data\train\labels\201807081415_007.txt,datasets\data\train\images\201807081415_007.png
datasets\data\train\labels\201807041143_058.txt,datasets\data\train\images\201807041143_058.png
datasets\data\train\labels\201807071347_041.txt,datasets\data\train\images\201807071347_041.png
datasets\data\train\labels\201807011032_005.txt,datasets\data\train\images\201807011032_005.png
datasets\data\train\labels\201807081214_001.txt,datasets\data\train\images\201807081214_001.png
